name_cap_2,num_rom_ca,Shape_Leng,Shape_Area
MUNGLINUP-SE,3030-I-SE,61276.23040000000,232701969.40799999000
NANGARUP-NE,3030-II-NE,61325.02210000000,233041435.96700001000
DUNNSVILLE-SW,3036-I-SW,60191.56920000000,225155473.60100001000
GIBRALTAR-NW,3035-I-NW,60318.45640000000,226038287.25999999000
MUNGLINUP-NW,3030-I-NW,61227.73940000000,232364594.53900000000
MUNGLINUP-SW,3030-I-SW,61276.23020000000,232701967.73500001000
NANGARUP-NW,3030-II-NW,61325.02210000000,233041435.96700001000
NANGARUP-SW,3030-II-SW,61374.11640000000,233383008.13999999000
LEINSTER DOWNS-SE,3042-III-SE,59330.91100000000,219167471.54300001000
DAVYHURST-NE,3037-IV-NE,59985.32280000000,223720520.83199999000
OLDFIELD-NE,3030-IV-NE,61227.73950000000,232364595.37400001000
OLDFIELD-SE,3030-IV-SE,61276.23020000000,232701967.73500001000
STARVATION BOAT HARB,3030-III-NE,61325.02200000000,233041435.13000000000
STARVATION BOAT HARB,3030-III-SE,61374.11620000000,233383006.46300000000
SIR SAMUEL-NW,3042-IV-NW,59222.62360000000,218414065.40200001000
SIR SAMUEL-SW,3042-IV-SW,59258.48670000000,218663581.68900001000
LEINSTER DOWNS-SW,3042-III-SW,59330.91080000000,219167469.96799999000
LAWLERS-NW,3041-IV-NW,59367.47340000000,219421853.09299999000
OBERWYL-NW,3039-IV-NW,59668.55160000000,221516595.28099999000
MULWARRIE-NW,3038-III-NW,59904.62280000000,223159052.93599999000
MULWARRIE-SW,3038-III-SW,59944.84560000000,223438901.78600001000
DAVYHURST-NW,3037-IV-NW,59985.32260000000,223720519.22400001000
DAVYHURST-SW,3037-IV-SW,60026.05520000000,224003914.99100000000
OLDFIELD-NW,3030-IV-NW,61227.73950000000,232364595.37400001000
OLDFIELD-SW,3030-IV-SW,61276.23040000000,232701969.40799999000
STARVATION BOAT HARB,3030-III-NW,61325.02220000000,233041436.80500001000
STARVATION BOAT HARB,3030-III-SW,61374.11640000000,233383008.13999999000
COPPERFIELD-NE,2939-I-NE,59668.55140000000,221516593.68900001000
BANDALUP-NE,2930-I-NE,61227.73940000000,232364594.53900000000
BANDALUP-SE,2930-I-SE,61276.23020000000,232701967.73600000000
JERDACUTTUP-NE,2930-II-NE,61325.02200000000,233041435.13000000000
JERDACUTTUP-SE,2930-II-SE,61374.11620000000,233383006.46300000000
BOORABBIN-SW,2935-I-SW,60361.28360000000,226336255.90700001000
BANDALUP-NW,2930-I-NW,61227.73950000000,232364595.51300001000
BANDALUP-SW,2930-I-SW,61276.23050000000,232701970.10400000000
JERDACUTTUP-NW,2930-II-NW,61325.02220000000,233041436.80500001000
JERDACUTTUP-SW,2930-II-SW,61374.11640000000,233383008.13999999000
BAMBOO-SE,2956-III-SE,57627.24960000000,207314301.43099999000
NULLAGINE-SE,2954-III-SE,57832.16030000000,208739961.15400001000
WILUNA-NE,2944-IV-NE,58943.93260000000,216475081.46700001000
RAVENSTHORPE-NE,2930-IV-NE,61227.73920000000,232364593.14700001000
RAVENSTHORPE-SE,2930-IV-SE,61276.23040000000,232701969.12700000000
HOPETOUN-NE,2930-III-NE,61325.02200000000,233041435.13000000000
HOPETOUN-SE,2930-III-SE,61374.11620000000,233383006.46300000000
NULLAGINE-SW,2954-III-SW,57832.16020000000,208739960.40400001000
RAVENSTHORPE-NW,2930-IV-NW,61227.73940000000,232364594.81700000000
RAVENSTHORPE-SW,2930-IV-SW,61276.23060000000,232701970.79899999000
HOPETOUN-NW,2930-III-NW,61325.02210000000,233041435.96700001000
HOPETOUN-SW,2930-III-SW,61374.11620000000,233383006.46300000000
COCANARUP-NE,2830-I-NE,61227.73920000000,232364593.14700001000
COCANARUP-SE,2830-I-SE,61276.23040000000,232701969.12700000000
WHOOGARUP-NE,2830-II-NE,61325.02210000000,233041435.96700001000
WHOOGARUP-SE,2830-II-SE,61374.11640000000,233383008.13999999000
MOOLYELLA-SW,2855-I-SW,57677.36320000000,207662965.30800000000
EASTERN RIDGE-NW,2851-II-NW,58133.76040000000,210838334.25200000000
EASTERN RIDGE-SW,2851-II-SW,58162.34920000000,211037239.85499999000
COCANARUP-NW,2830-I-NW,61227.73930000000,232364593.98199999000
COCANARUP-SW,2830-I-SW,61276.23040000000,232701969.12700000000
WHOOGARUP-NW,2830-II-NW,61325.02200000000,233041435.13000000000
WHOOGARUP-SW,2830-II-SW,61374.11620000000,233383006.46300000000
RED ISLAND-NW,2829-I-NW,61423.51460000000,233726694.25799999000
MARBLE BAR-SE,2855-IV-SE,57677.36300000000,207662963.81500000000
MOUNT WHALEBACK-NE,2851-III-NE,58133.76050000000,210838334.94700000000
MOUNT WHALEBACK-SE,2851-III-SE,58162.34930000000,211037240.67600000000
YELLOWDINE-NE,2835-III-NE,60404.37940000000,226636093.56299999000
YELLOWDINE-SE,2835-III-SE,60447.74500000000,226937808.34400001000
LAKE KING-NE,2831-IV-NE,61036.74660000000,231035768.21599999000
MAINNERUP-NE,2830-IV-NE,61227.73930000000,232364593.98199999000
MAINNERUP-SE,2830-IV-SE,61276.23060000000,232701970.79899999000
DRUMMOND-NE,2830-III-NE,61325.02220000000,233041436.80500001000
DRUMMOND-SE,2830-III-SE,61374.11640000000,233383008.13999999000
DEMPSTER-NE,2829-IV-NE,61423.51480000000,233726695.93700001000
LAKE SEABROOK-NW,2836-III-NW,60233.60040000000,225447904.11000001000
LAKE CAMM-NW,2832-III-NW,60943.00960000000,230383596.28799999000
LAKE CAMM-SW,2832-III-SW,60989.73300000000,230708672.85800001000
MAINNERUP-NW,2830-IV-NW,61227.73920000000,232364593.14700001000
MAINNERUP-SW,2830-IV-SW,61276.23040000000,232701969.12700000000
DRUMMOND-NW,2830-III-NW,61325.02200000000,233041435.13000000000
DRUMMOND-SW,2830-III-SW,61374.11620000000,233383006.46300000000
DEMPSTER-NW,2829-IV-NW,61423.51460000000,233726694.25799999000
DEMPSTER-SW,2829-IV-SW,61473.21900000000,234072511.03700000000
HOOD-NW,2829-III-NW,61523.23170000000,234420472.95100001000
HOOD-SW,2829-III-SW,61573.55400000000,234770588.90000001000
SHELLBOROUGH-SE,2758-II-SE,57434.07600000000,205970302.34999999000
COOLEN COOLEN-NE,2757-I-NE,57457.59270000000,206133918.99800000000
MARVEL LOCH-SE,2735-II-SE,60447.74500000000,226937808.34400001000
HURLSTONE-SE,2732-I-SE,60896.57440000000,230060524.59900001000
BAGOT-NE,2730-I-NE,61227.73940000000,232364594.81700000000
BAGOT-SE,2730-I-SE,61276.23060000000,232701970.79899999000
JACUP-NE,2730-II-NE,61325.02220000000,233041436.80500001000
JACUP-SE,2730-II-SE,61374.11640000000,233383008.13999999000
BLAND-NE,2729-I-NE,61423.51470000000,233726695.09700000000
BLAND-SE,2729-I-SE,61473.21900000000,234072511.03700000000
BREMER-NE,2729-II-NE,61523.23160000000,234420472.10900000000
BREMER-SE,2729-II-SE,61573.55370000000,234770586.51699999000
SHELLBOROUGH-SW,2758-II-SW,57434.07580000000,205970300.87000000000
COOLEN COOLEN-NW,2757-I-NW,57457.59270000000,206133918.99800000000
SANDSTONE-SW,2742-II-SW,59330.91080000000,219167470.15200001000
RAFFERTYS PATCH-NW,2741-I-NW,59367.47360000000,219421854.66999999000
